日付,内容,収入,支出,残高
2017-05-01,"部費 (¥20,000 × 6人)",120000,,120000
2017-05-26,交通費,,1000,119000
2017-06-04,交通費,,1000,118000
2017-06-11,交通費,,1000,117000
2017-06-18,交通費,,1000,116000
2017-06-24,交通費,,1000,115000
2017-07-02,交通費,,1000,114000
2017-07-02,交通費,,1000,113000
2017-07-02,交通費,,1000,112000
2017-07-25,アクティブ・プラン選考会の結果 30万円獲得,300000,,412000
2017-08-11,交通費,,1000,411000
2017-08-11,交通費,,1000,410000
2017-09-06,ポプラ,,648,409352
2017-09-06,交通費,,1000,408352
2017-09-09,交通費,,1000,407352
2017-09-09,交通費,,1000,406352
2017-09-15,交通費,,1000,405352
2017-09-20,印刷,,38310,367042
2017-10-04,ドメイン,,3888,363154
2017-10-04,ドメイン,,3888,359266
2017-11-01,品代,,2199,357067
2017-11-02,ドメイン,,1490,355577
2017-11-03,交通費,,1000,354577
2017-11-03,交通費,,1000,353577
2017-11-05,交通費,,1000,352577
2017-11-05,交通費,,1000,351577
2017-11-10,交通費,,1000,350577
2017-11-12,交通費,,1000,349577
2017-11-12,交通費,,1000,348577
2017-11-12,交通費,,1000,347577
2017-11-12,交通費,,1000,346577
2017-11-12,ドメイン,,1490,345087
2017-11-18,交通費,,1000,344087
2017-11-18,交通費,,1000,343087
2017-11-18,交通費,,1000,342087
2017-11-18,交通費,,1000,341087
2017-11-23,交通費,,1000,340087
2017-11-23,交通費,,1000,339087
2017-11-23,交通費,,1000,338087
2017-11-23,交通費,,1000,337087
2017-12-03,交通費,,1000,336087
2017-12-03,交通費,,1000,335087
2017-12-03,交通費,,1000,334087
2017-12-03,交通費,,1000,333087
2017-12-10,交通費,,1000,332087
2017-12-10,交通費,,1000,331087
2017-12-10,交通費,,1000,330087
2017-12-10,交通費,,1000,329087
2017-12-17,交通費,,1000,328087
2017-12-17,交通費,,1000,327087
2017-12-17,交通費,,1000,326087
2017-12-18,レンズ,,11248,314839
2017-12-23,カメラ,,73894,240945
2017-12-29,虎屋,,4881,236064
2017-12-29,品代,,4881,231183
2018-01-14,交通費,,1000,230183
2018-01-14,交通費,,1000,229183
2018-01-14,交通費,,1000,228183
2018-01-14,交通費,,1000,227183
2018-01-14,貸し会議室,,1760,225423
2018-01-22,交通費,,1850,223573
2018-01-27,カウンター,,1100,222473
2018-01-27,adobe,,38616,183857
2018-01-27,交通費,,1000,182857
2018-01-27,腕章,,2199,180658
2018-01-28,交通費,,5000,175658
2018-01-28,景品,,4916,170742
2018-01-29,貸し会議室,,1760,168982
2018-01-30,お茶,,300,168682
2018-02-24,交通費,,3000,165682
2018-03-05,景品,,8980,156702
2018-03-22,印刷,,70911,85791
2018-03-31,ipad備品,,2649,83142
2018-03-31,ipad備品,,9448,73694
2018-03-31,PC償却,,68292,5402
