日付,科目,摘要,収入金額,支出金額,差引残高
,,前年度より繰越,,,197878
2021/04/30,印刷費,4月号印刷代,,20476,177402
2021/07/21,アクティブプラン,アクティブプラン,170000,,347402
2021/07/29,取材費,夏号取材費,,5400,342002
2021/08/12,企画費,かき氷,,1650,340352
2021/08/12,企画費,工作室ドールハウス,,3300,337052
2021/08/26,印刷費,夏号印刷代,,30768,306284
2021/09/17,印刷費,秋号印刷代,,20760,285524
2021/10/27,印刷費,ポスター印刷代,,9792,275732
2021/10/28,印刷費,芝浦祭印刷代,,6957,268775
2021/10/31,謝礼費,読者プレゼント,,4000,264775
2021/10/31,郵送費,手数料,,150,264625
2021/11/02,通信運搬費,バリュードメイン,,5238,259387
2021/11/02,通信運搬費,ドメインキング,,1518,257869
2021/11/02,消耗品,マスキングテープ,,330,257539
2021/11/03,雑費,芝浦祭掲示板,,300,257239
2021/11/03,印刷費,おすすめ記事印刷,,198,257041
2021/11/04,印刷費,おすすめ記事印刷,,220,256821
2021/11/25,交通費,SFF参加費,,1000,255821
2021/12/08,謝礼費,芝浦祭読者プレゼント,,5980,249841
2022/01/26,印刷費,冬号印刷代,,25748,224093
2022/01/26,謝礼費,冬号読者プレゼント,,7180,216913
2022/02/26,企画費,春号工作室テラリウム企画,,11220,205693
2022/03/20,印刷費,春号印刷代,,9233,196460
,,合計,170000,171418,196460
